MJD   Ra_deg   Dec_deg   Unc_deg   log10(Ereco)
54567.351956   79.39     7.64     0.48     3.19
54581.572849   76.16     6.91     0.79     3.69
54595.905001   80.22     5.93     1.13     3.32
54599.512030   78.85     5.09     0.51     3.50
54635.225593   79.02     3.88     0.46     4.63
54666.328255   78.11     6.91     1.51     5.50
54667.044995   77.64     4.06     0.43     4.24
54668.648890   74.91     5.94     0.49     3.47
54676.460565   78.71     6.29     0.34     3.99
54692.276485   79.48     5.45     1.18     3.37
54707.987934   80.22     4.96     1.68     4.28
54715.073660   77.67     3.22     0.67     3.47
54725.600123   75.72     5.15     0.56     3.21
54730.125874   75.39     6.04     1.41     3.45
54737.460167   78.16     8.00     1.10     3.76
54738.796240   75.11     7.00     0.92     3.41
54759.625365   75.46     6.40     0.71     3.25
54759.932666   80.22     5.93     1.14     3.46
54774.374973   76.62     3.30     0.50     3.99
54787.266915   74.64     4.79     1.08     3.12
54792.820337   78.59     8.14     0.38     3.24
54814.480099   75.14     4.89     1.33     3.34
54836.484440   78.39     4.92     0.90     3.47
54838.356847   74.53     5.49     0.55     4.02
54843.854362   76.11     3.58     1.49     3.31
54853.558868   78.63     3.48     0.84     4.15
54855.053522   76.49     3.88     1.98     3.68
54875.629851   76.98     3.60     0.48     3.28
54922.578013   78.14     6.09     1.71     3.58
54953.636719   78.48     7.44     0.77     3.60
54969.892452   75.56     6.37     1.89     3.16
54975.419586   75.42     7.48     1.30     2.92
54989.275885   79.79     3.94     1.24     3.33
54997.654695   78.05     8.49     1.73     3.08
55000.501687   78.18     8.02     0.94     3.08
55002.651934   78.76     5.88     1.39     3.50
55008.178427   79.48     4.01     0.82     3.28
55015.292317   79.49     5.02     0.40     3.61
55018.411661   76.61     7.26     0.38     3.73
55022.979893   79.27     3.72     0.57     3.41
55024.393008   77.46     6.67     1.26     3.39
55030.975887   76.60     4.88     1.49     3.69
55033.948266   77.16     4.52     0.89     3.27
55036.857357   75.32     3.66     0.75     3.10
55043.286934   78.00     4.02     1.03     3.76
55058.049571   77.53     8.55     0.65     3.88
55058.205250   79.58     4.55     0.43     4.29
55065.130952   78.58     8.33     1.00     3.56
55067.810030   77.10     7.17     2.03     3.03
55068.378059   76.53     7.29     1.08     3.33
55073.280164   75.70     6.85     0.31     3.84
55074.472852   77.19     7.66     1.14     3.68
55075.640253   77.96     7.26     0.92     3.87
55078.033733   79.31     7.23     0.64     3.40
55079.678633   76.37     4.18     2.02     3.89
55086.790680   79.34     5.30     0.51     3.62
55088.580151   77.39     4.93     1.33     3.84
55100.316331   78.22     4.69     0.83     3.05
55100.578095   78.72     4.15     1.23     3.76
55104.398637   75.48     5.03     0.60     3.17
55107.545508   77.52     6.39     0.44     3.31
55108.358164   76.78     4.91     0.34     3.38
55119.109384   75.85     6.91     0.69     3.90
55124.229641   77.62     2.88     1.59     3.23
55131.175658   77.05     6.78     1.71     3.33
55131.472900   75.22     7.31     0.68     3.14
55134.045092   78.92     7.98     0.79     3.73
55134.740225   75.56     7.72     1.92     3.51
55141.161712   80.30     5.42     0.90     3.47
55141.456390   77.47     4.51     0.63     3.39
55142.526888   78.88     6.79     3.20     4.00
55146.487185   76.18     6.53     1.61     3.11
55146.856283   80.00     5.00     0.58     3.40
55148.723098   78.63     3.26     1.05     3.31
55149.544906   77.27     8.49     1.93     4.14
55154.139170   78.71     4.09     0.63     3.48
55154.267153   77.96     3.20     1.49     3.20
55157.003062   77.90     3.48     1.62     3.22
55160.525261   79.65     7.26     0.46     3.41
55163.975449   76.99     5.41     0.45     3.48
55169.482163   79.52     4.45     1.25     3.54
55178.267320   77.60     6.75     0.49     3.71
55179.433559   78.86     5.96     0.77     3.66
55182.745800   77.02     8.38     0.97     3.14
55184.077261   74.94     5.44     0.49     3.29
55184.481780   76.17     5.89     0.96     3.47
55185.054521   76.58     3.21     0.36     3.35
55188.192551   76.11     3.14     0.96     2.79
55189.658368   78.42     3.71     1.23     3.45
55192.716439   79.82     5.64     0.88     4.17
55195.376175   77.00     3.15     0.90     3.35
55196.869045   76.03     8.33     1.20     3.11
55197.637811   78.25     7.16     0.41     3.43
55199.092494   75.00     7.10     1.18     3.35
55204.982082   75.86     4.77     1.72     4.14
55209.197102   79.53     6.88     1.22     3.48
55209.212958   78.08     5.25     0.52     4.42
55209.605080   77.90     5.55     0.66     3.58
55211.545663   78.09     6.17     0.48     3.56
55216.303586   79.81     4.39     2.07     3.46
55216.393314   77.85     3.00     1.64     3.91
55221.780152   78.32     7.04     1.54     3.12
55223.340198   78.72     8.03     1.13     3.39
55225.410490   76.66     7.12     0.75     3.40
55235.761664   77.70     8.22     1.01     3.23
55235.779133   78.30     6.66     2.58     3.44
55235.807107   78.30     3.13     0.34     3.48
55236.120920   74.83     7.32     1.66     3.32
55238.140600   78.79     5.98     1.57     3.65
55239.564686   77.92     3.85     0.99     3.16
55240.831022   76.60     6.85     0.33     3.86
55247.703786   79.00     4.44     0.82     3.25
55251.820068   76.05     3.37     1.32     3.33
55255.436350   78.34     3.16     1.50     3.44
55259.543975   79.04     8.05     0.70     3.17
55260.093256   79.52     5.18     0.56     3.48
55260.556416   77.16     4.20     0.97     3.38
55267.405321   77.46     6.78     0.26     3.86
55268.384232   78.29     5.21     1.21     3.25
55269.553485   78.80     4.94     1.01     3.15
55272.810907   76.52     5.45     0.36     3.39
55278.814326   78.20     4.60     0.64     3.62
55280.241821   77.61     4.22     0.58     3.16
55280.792693   77.13     7.37     1.85     3.32
55283.582230   76.70     6.33     1.36     3.71
55286.875058   77.13     4.74     1.29     3.21
55295.004751   79.79     5.30     0.45     3.69
55299.088805   79.25     3.59     1.31     3.18
55302.198369   77.12     5.05     1.22     3.16
55308.431212   78.34     7.10     0.52     3.22
55311.597507   78.94     7.67     0.45     3.95
55311.877569   76.14     5.55     0.64     3.70
55319.437434   76.76     7.73     0.42     3.55
55326.752306   76.16     4.62     1.57     3.78
55327.594336   78.19     7.94     1.48     3.29
55335.244832   78.34     4.70     2.32     3.08
55338.351196   78.27     4.62     1.94     3.86
55340.245997   80.05     5.55     0.87     3.44
55345.469534   76.48     6.73     0.51     3.36
55346.492821   78.18     5.40     1.35     3.73
55361.629901   77.84     8.48     0.41     3.36
55375.937602   75.96     7.43     0.25     3.50
55377.739812   77.28     5.45     1.25     3.08
55383.246366   77.52     6.37     0.79     3.37
55384.649526   78.17     3.87     0.58     3.15
55385.388833   78.28     4.94     0.72     3.47
55387.422224   77.85     3.91     0.38     4.08
55387.982999   78.22     3.76     0.48     3.34
55390.262780   75.06     4.59     0.96     4.01
55395.536988   76.62     2.99     0.68     3.27
55401.243173   80.23     5.89     0.80     3.25
55404.593160   78.34     6.86     0.57     4.24
55405.593000   78.25     7.00     0.67     3.49
55414.635834   77.87     7.93     0.21     3.96
55420.618921   77.20     3.82     0.77     3.52
55422.746698   77.52     2.93     0.73     3.30
55425.943068   78.69     4.50     0.74     3.27
55433.846313   76.36     5.96     0.73     3.29
55438.323787   77.83     5.27     0.30     3.56
55441.835126   76.50     3.36     0.34     3.75
55444.395598   76.78     5.92     0.47     3.16
55451.681157   77.62     7.50     0.90     3.18
55454.852770   80.25     5.56     0.46     3.24
55459.271357   79.87     6.86     0.58     3.51
55460.949316   78.93     6.07     1.20     3.29
55464.415590   77.26     3.05     0.73     3.59
55465.055037   76.60     5.65     0.51     3.42
55465.618529   80.08     6.32     0.37     3.46
55471.130879   78.26     8.21     2.23     3.34
55472.564942   77.20     8.64     0.77     3.42
55474.202282   76.71     6.92     0.55     3.43
55479.020911   78.34     6.93     0.45     3.28
55481.511515   78.31     5.63     0.59     3.32
55483.616295   75.07     3.84     0.82     3.29
55484.190015   79.63     5.38     0.72     3.14
55485.443934   78.63     3.03     1.30     3.42
55485.782696   76.86     3.85     0.26     3.40
55488.282767   76.69     3.03     1.15     3.27
55490.160642   78.16     3.54     0.87     3.52
55490.680377   79.85     5.34     1.26     3.38
55491.461592   76.21     4.90     0.93     3.24
55495.520436   80.09     4.73     0.45     3.24
55499.295182   75.88     3.79     0.40     4.46
55499.768770   75.82     3.59     0.93     3.33
55501.330727   78.26     4.69     0.40     3.34
55508.124213   75.52     4.40     0.64     3.41
55510.414925   76.89     7.96     0.63     3.25
55512.897960   79.61     5.99     0.49     3.43
55516.902014   76.77     8.47     1.13     3.12
55517.525964   79.12     3.61     0.92     3.81
55528.512777   79.51     4.87     0.46     3.53
55528.597841   75.44     3.54     0.23     4.06
55530.680021   78.82     3.92     0.71     3.11
55534.604184   77.14     4.54     0.62     3.29
55534.867334   74.76     4.93     0.93     3.38
55535.370209   79.67     6.52     0.57     3.51
55537.389675   76.30     3.39     0.58     3.41
55545.379393   76.47     3.91     0.55     3.11
55549.374399   74.85     6.38     0.84     3.70
55549.485572   77.69     2.75     0.52     3.43
55556.125721   78.67     7.89     0.92     3.06
55557.223008   74.44     6.04     1.65     3.81
55559.536083   79.87     5.91     0.36     3.42
55560.021778   76.40     7.10     0.39     4.27
55560.826883   79.04     7.16     0.50     3.31
55573.233300   76.31     6.79     0.54     3.52
55573.489268   78.90     8.02     0.69     3.14
55575.592331   79.66     7.03     0.18     4.21
55579.481636   75.89     6.95     1.08     2.94
55586.282856   78.72     7.50     1.29     3.26
55590.872663   76.27     5.76     0.32     3.35
55592.428365   75.98     3.49     1.18     3.70
55592.827912   76.92     4.39     0.74     3.35
55593.850065   75.32     5.30     0.77     3.29
55600.344521   79.88     5.39     0.66     3.30
55601.857476   78.82     5.08     0.27     3.69
55602.537772   78.55     2.95     0.96     3.75
55605.502970   78.72     4.76     0.28     3.93
55607.833949   76.02     4.24     0.36     3.47
55616.737266   77.87     3.89     0.66     3.48
55617.726380   75.20     7.67     0.40     3.36
55620.493867   76.87     7.34     0.30     3.29
55627.258575   78.28     6.22     1.36     3.42
55627.704868   75.91     6.48     1.00     3.57
55634.837802   79.39     6.89     0.97     3.47
55635.236636   78.46     5.76     0.58     3.26
55638.252975   77.05     6.25     0.98     3.26
55639.204838   79.51     5.06     0.44     3.31
55654.510666   75.12     5.54     0.75     3.33
55659.822016   80.00     6.02     0.43     3.13
55672.706565   78.51     7.00     0.90     3.41
55676.791981   75.41     6.76     0.47     3.78
55677.747188   79.99     6.02     0.52     3.17
55692.073386   76.87     7.33     0.77     3.10
55693.045289   78.63     5.61     0.49     3.96
55693.090466   77.81     3.90     0.42     3.51
55693.254999   78.87     6.48     0.29     3.57
55700.018832   77.94     7.46     0.80     3.05
55702.199330   78.02     4.15     0.77     2.89
55702.732605   75.89     5.49     0.43     3.16
55703.178705   75.19     4.60     1.54     3.07
55713.959179   79.38     5.55     0.52     2.98
55714.042061   77.52     7.76     0.89     2.69
55715.198831   78.63     4.19     0.56     2.89
55716.042292   76.90     4.54     0.99     2.87
55719.249665   76.54     4.64     0.74     2.84
55729.180915   77.19     4.73     0.38     2.90
55729.841007   76.13     4.81     0.67     2.92
55730.434260   79.83     6.73     1.23     3.03
55736.186980   75.34     7.87     0.66     2.98
55736.236250   75.94     4.31     0.62     3.15
55740.450891   78.21     5.92     1.49     3.00
55744.931355   75.75     7.21     0.74     3.37
55749.053728   78.69     7.50     0.42     3.39
55751.883148   78.99     7.99     0.62     3.04
55758.790788   79.05     7.42     0.42     3.01
55760.444722   75.17     6.00     0.36     2.92
55765.147061   79.77     6.19     0.39     2.93
55765.322593   78.29     3.07     0.80     3.13
55767.870371   79.08     4.70     0.53     3.05
55768.264734   76.32     7.88     0.95     2.89
55769.326320   76.75     3.28     0.65     2.95
55771.096031   79.75     5.06     0.19     3.33
55771.797802   77.59     5.76     1.52     3.22
55772.486008   75.49     3.81     1.92     3.33
55777.422385   78.48     4.19     0.74     2.95
55781.006215   75.53     5.94     2.09     2.88
55789.338913   78.21     6.36     0.30     3.91
55801.315845   80.11     5.74     0.22     3.48
55804.012026   76.46     7.92     0.18     3.50
55808.334098   77.32     5.28     0.37     3.57
55811.515405   76.22     5.66     0.43     3.89
55812.395047   79.36     7.56     0.82     2.94
55813.167072   76.70     8.36     0.31     2.92
55815.064017   77.98     8.40     0.49     2.96
55816.597558   75.21     7.27     2.34     2.79
55820.923959   76.13     7.13     0.75     2.71
55821.874179   75.20     7.79     1.87     2.99
55823.377686   76.98     5.59     1.24     3.24
55823.844445   77.58     6.22     2.02     3.42
55832.288924   75.00     4.09     1.59     3.60
55835.270093   78.66     4.22     0.74     2.93
55835.297558   79.12     3.74     1.97     3.30
55836.482095   79.47     3.69     1.79     2.94
55840.481320   77.00     5.78     0.96     2.74
55841.990348   76.11     4.54     0.49     2.91
55842.589735   78.24     6.57     0.58     3.00
55842.921644   76.72     4.50     1.39     3.08
55850.070741   77.34     6.97     2.00     3.58
55851.299110   79.82     4.27     1.62     2.78
55859.721285   75.27     7.10     2.03     2.71
55859.967882   76.23     8.31     0.48     2.98
55862.860696   78.50     5.51     2.51     3.37
55863.877778   78.90     5.91     0.74     3.32
55869.879688   79.43     3.89     0.57     3.14
55871.207154   75.12     5.71     0.23     2.89
55871.269006   79.28     5.69     1.64     3.17
55871.406922   79.42     4.51     0.40     2.77
55879.628994   75.68     4.33     0.57     2.85
55879.766991   80.31     5.40     0.84     3.01
55884.643727   77.05     5.15     0.78     2.98
55885.755996   77.56     2.95     2.49     2.69
55886.525428   77.74     7.44     0.34     3.27
55887.391493   76.52     2.97     1.01     3.02
55890.821459   77.01     6.17     0.95     3.29
55906.653994   76.77     4.17     0.83     3.22
55907.033693   78.84     7.91     0.50     3.71
55907.729260   79.45     5.00     0.20     3.78
55907.760579   76.38     4.40     0.61     2.66
55908.033901   76.25     5.15     1.39     2.80
55910.550128   75.50     7.27     0.33     3.38
55914.693241   77.03     4.86     0.44     3.06
55915.289295   75.83     3.95     0.25     3.17
55915.726574   78.84     3.98     2.73     2.83
55917.039133   75.26     7.63     0.26     2.81
55918.485452   76.98     5.63     0.46     2.87
55920.900163   79.40     5.17     0.56     2.80
55930.781899   74.76     7.14     0.29     3.23
55938.004387   77.75     5.95     0.36     3.00
55946.530383   78.64     3.40     0.22     3.16
55949.951795   79.73     7.34     0.57     2.87
55951.180452   76.24     3.36     0.91     2.97
55952.721598   78.27     8.01     2.05     2.91
55956.243565   76.08     4.47     1.01     3.27
55960.336632   75.34     5.91     0.40     2.74
55961.287049   75.91     5.25     0.60     3.07
55969.232987   76.77     3.80     1.48     3.46
55977.594781   79.16     6.97     0.67     2.95
55992.392293   79.77     5.03     0.68     3.12
55994.653067   77.04     3.01     1.15     3.58
56002.400162   79.15     6.38     1.75     2.92
56005.777500   77.40     3.49     0.29     2.86
56006.750498   74.71     6.93     0.22     3.38
56008.297790   79.44     4.55     0.41     3.08
56013.473785   80.00     6.80     0.76     3.13
56013.488773   75.86     6.14     0.67     2.80
56020.612130   77.14     8.60     1.48     3.45
56022.678611   75.01     6.40     0.82     3.17
56023.927570   75.82     5.76     0.24     2.93
56027.281309   78.31     5.53     0.39     3.01
56031.545695   75.07     7.17     0.23     3.35
56036.105198   77.24     4.38     0.52     3.26
56047.817744   78.30     5.04     1.02     2.84
56049.889352   74.81     6.07     0.19     2.93
56050.903994   78.87     6.32     0.22     3.14
56059.119618   77.14     4.20     0.57     2.96
56067.076728   76.76     5.38     0.56     3.68
56067.382729   75.58     4.11     0.81     3.09
56068.920340   77.12     3.24     0.49     3.10
56071.192330   75.76     6.91     0.51     3.01
56078.464063   78.53     6.97     0.80     3.60
56079.206971   76.55     5.62     0.50     3.11
56082.199731   79.90     6.83     0.25     3.05
56082.969908   75.71     8.03     1.30     3.15
56084.429243   75.12     4.91     1.89     3.66
56087.762805   77.74     7.21     0.43     2.74
56091.766804   77.23     2.87     0.26     3.23
56093.782702   79.25     5.65     0.29     3.17
56094.600146   77.83     5.89     2.92     2.99
56100.417893   74.68     5.61     0.60     2.94
56108.608525   74.83     5.79     0.29     2.85
56112.525970   76.06     8.27     0.86     2.91
56113.330220   75.92     5.26     1.44     3.11
56115.277542   77.13     3.29     1.10     2.82
56116.214351   77.54     8.67     0.71     2.82
56120.408999   79.91     5.77     0.74     2.92
56127.945131   78.09     7.35     0.52     3.00
56128.628120   79.12     6.87     0.43     2.70
56134.707248   75.55     6.24     0.34     3.05
56143.154068   78.22     3.74     0.47     3.12
56150.590258   76.64     7.74     0.68     2.89
56153.960708   77.48     7.37     0.45     3.11
56155.534145   78.44     7.98     1.29     3.04
56156.855129   77.37     6.10     0.18     3.06
56157.019276   75.24     6.48     1.57     3.23
56157.913207   77.53     4.36     1.02     2.67
56158.075930   77.11     7.39     0.82     2.95
56164.556018   78.19     4.04     0.72     3.05
56166.767070   76.28     8.07     0.96     3.23
56169.422493   77.95     5.91     1.14     3.36
56174.208839   79.68     4.01     0.34     2.95
56176.777142   77.95     5.91     0.59     2.58
56178.553004   74.57     5.22     0.87     2.91
56178.558727   77.58     4.85     0.47     2.82
56180.846499   76.76     8.17     0.63     2.92
56187.098723   77.31     7.87     0.48     3.24
56188.128704   76.07     5.66     0.23     3.20
56188.913436   79.76     7.43     1.10     3.15
56195.055099   76.33     4.40     0.61     3.07
56196.029291   77.41     5.77     1.18     3.16
56204.105000   74.71     7.09     0.55     3.00
56204.392970   80.19     6.11     1.14     3.44
56206.298956   78.05     5.40     2.18     3.02
56211.518731   78.66     8.23     0.39     3.20
56216.725175   79.36     7.72     2.40     2.99
56225.074922   76.97     6.89     0.79     2.89
56228.671292   75.93     4.00     0.44     3.37
56230.639683   79.18     6.83     0.47     2.99
56232.973356   75.97     3.34     0.54     3.08
56233.019040   74.73     5.18     0.44     3.12
56234.586917   75.64     6.34     0.38     3.07
56235.721562   75.38     7.36     2.85     2.58
56237.206610   78.18     5.42     1.05     2.59
56239.655830   75.06     5.80     0.76     2.86
56241.952152   78.01     8.48     0.23     3.68
56242.608551   77.17     3.09     0.30     3.02
56242.813255   80.26     5.16     0.42     2.73
56244.917264   76.66     7.60     1.59     3.07
56249.315182   74.66     6.18     0.54     2.99
56249.870802   79.48     5.51     0.36     3.43
56258.129084   79.37     5.49     0.77     2.79
56264.456410   76.08     3.24     0.15     3.58
56264.631066   77.88     5.46     0.54     2.82
56266.738226   78.07     5.12     0.38     2.86
56270.033710   80.24     5.71     0.39     2.91
56272.241125   79.64     5.32     0.62     2.93
56275.797914   77.12     7.94     0.29     3.00
56276.333611   75.25     5.48     0.23     3.53
56284.207829   76.76     2.92     0.67     3.01
56284.360252   77.84     8.53     1.02     2.82
56286.324300   78.77     6.67     0.59     2.93
56288.632551   80.34     5.86     0.83     3.04
56295.107788   77.40     6.44     0.67     2.82
56295.570715   78.32     6.53     0.66     3.11
56303.205075   76.67     3.33     0.38     3.00
56304.303369   76.45     4.96     0.26     2.90
56305.284277   76.59     7.04     0.37     2.91
56311.239347   79.37     4.35     0.48     3.42
56312.420614   74.95     5.64     0.97     2.99
56321.782748   76.12     6.39     0.49     4.20
56321.819835   79.69     7.41     0.64     3.33
56323.535474   77.50     5.29     0.82     3.06
56326.708320   77.79     8.36     0.70     2.55
56329.191761   76.69     6.01     0.54     2.77
56334.326721   78.19     4.67     0.38     3.14
56338.001565   77.58     6.07     0.79     3.15
56343.579080   77.37     6.41     0.45     3.35
56346.929398   78.65     5.30     0.80     3.03
