MJD   Ra_deg   Dec_deg   Unc_deg   log10(Ereco)
56937.818975   77.73     6.36     0.64     2.92
56937.864464   76.90     5.95     1.21     2.71
56940.521508   77.90     5.82     0.79     2.83
56940.908431   77.55     5.40     0.19     3.98
56947.778201   76.26     7.39     2.93     2.98
56949.232582   76.20     7.28     1.33     2.38
56949.853686   76.22     5.76     0.44     2.97
56954.516465   76.84     8.50     0.62     3.00
56955.480910   74.81     5.70     0.70     2.92
56955.791773   77.55     5.72     0.36     3.10
56956.084883   76.77     6.33     1.25     2.77
56956.975108   77.06     8.11     0.30     3.09
56957.256074   78.40     7.66     0.53     3.19
56964.309896   76.63     8.23     0.39     2.96
56967.595027   77.07     3.83     0.53     2.84
56967.754645   78.06     8.31     0.96     3.46
56968.212191   75.58     4.93     1.02     3.00
56969.223427   78.15     7.71     0.47     3.05
56977.090758   76.10     6.36     0.34     2.88
56977.912518   78.71     5.31     0.71     3.01
56981.131351   76.34     6.04     0.51     4.14
56983.247609   77.87     6.83     0.98     3.12
56985.731962   74.46     5.29     0.90     2.87
56986.791096   78.79     5.37     1.81     2.92
56989.029129   78.19     4.95     0.49     2.77
56989.728069   74.90     4.31     0.42     2.95
56990.432542   77.14     5.02     0.60     2.00
56991.938293   76.77     6.06     0.80     3.43
56992.158592   78.82     6.26     1.78     4.31
56992.825736   75.84     7.87     1.14     3.48
56994.792450   74.93     5.50     1.42     3.20
57000.893230   79.45     3.97     0.46     3.18
57002.599374   80.15     6.28     0.41     3.01
57003.086921   75.75     3.39     0.21     3.09
57009.530176   77.28     5.54     0.39     3.91
57014.191042   77.49     5.79     1.65     3.79
57014.348335   77.52     7.79     1.04     2.85
57024.297888   77.84     3.36     0.86     2.09
57031.469072   77.23     4.20     0.58     3.41
57031.528122   76.28     5.45     2.24     3.26
57031.822474   77.60     4.51     0.79     2.96
57036.804601   75.69     5.99     0.28     3.17
57049.084084   77.79     4.22     0.36     2.88
57050.335154   78.64     7.82     0.55     2.93
57050.943345   75.84     3.85     1.11     2.91
57051.385858   78.92     7.49     0.63     2.62
57052.403637   77.97     8.03     1.33     3.11
57055.662958   78.64     7.02     0.57     3.30
57067.062361   78.27     6.86     1.20     2.85
57070.648200   75.93     4.17     0.72     3.24
57072.208882   77.03     5.15     1.05     3.43
57072.989498   76.45     5.44     1.09     4.18
57075.606089   78.64     5.77     0.57     2.60
57079.447279   75.71     7.23     0.76     2.72
57082.480498   75.33     4.32     0.34     3.16
57086.097467   79.97     4.80     0.65     2.89
57087.100003   76.36     7.79     1.58     3.04
57088.606199   78.87     4.23     1.40     2.67
57089.439565   77.68     5.90     0.18     3.70
57094.733665   77.73     4.69     0.70     2.90
57096.204192   79.21     4.90     1.34     3.25
